variable_a,variable_b,r,reach_a,reach_b,recommended_keep,recommended_drop
pos_prop_SYM,dependency_distance_mean,0.894,0.132,0.165,dependency_distance_mean,pos_prop_SYM
pos_prop_SYM,dependency_distance_std,0.932,0.132,0.169,dependency_distance_std,pos_prop_SYM
pos_prop_SYM,automated_readability_index,0.963,0.132,0.126,pos_prop_SYM,automated_readability_index
pos_prop_SYM,coleman_liau_index,0.963,0.132,0.126,pos_prop_SYM,coleman_liau_index
pos_prop_SYM,parse_tree_depth_mean,0.894,0.132,0.199,parse_tree_depth_mean,pos_prop_SYM
pos_prop_SYM,parse_tree_depth_std,0.948,0.132,0.144,parse_tree_depth_std,pos_prop_SYM
pos_prop_VERB,aoa_mean,-0.877,0.3,0.286,pos_prop_VERB,aoa_mean
pos_prop_VERB,aoa_std,-0.894,0.3,0.282,pos_prop_VERB,aoa_std
pos_prop_VERB,prevalence_mean,0.93,0.3,0.308,prevalence_mean,pos_prop_VERB
pos_prop_VERB,mean_dependents_per_head,-0.813,0.301,0.292,pos_prop_VERB,mean_dependents_per_head
pos_prop_VERB,prop_complex_sentences,0.848,0.301,0.313,prop_complex_sentences,pos_prop_VERB
dependency_distance_mean,dependency_distance_std,0.875,0.165,0.169,dependency_distance_std,dependency_distance_mean
dependency_distance_mean,automated_readability_index,0.909,0.165,0.126,dependency_distance_mean,automated_readability_index
dependency_distance_mean,coleman_liau_index,0.907,0.165,0.127,dependency_distance_mean,coleman_liau_index
dependency_distance_mean,parse_tree_depth_mean,0.962,0.165,0.199,parse_tree_depth_mean,dependency_distance_mean
dependency_distance_mean,parse_tree_depth_std,0.923,0.165,0.144,dependency_distance_mean,parse_tree_depth_std
dependency_distance_std,automated_readability_index,0.962,0.169,0.126,dependency_distance_std,automated_readability_index
dependency_distance_std,coleman_liau_index,0.962,0.169,0.126,dependency_distance_std,coleman_liau_index
dependency_distance_std,parse_tree_depth_mean,0.851,0.17,0.2,parse_tree_depth_mean,dependency_distance_std
dependency_distance_std,parse_tree_depth_std,0.944,0.169,0.144,dependency_distance_std,parse_tree_depth_std
flesch_reading_ease,flesch_kincaid_grade,-0.9,0.213,0.213,flesch_reading_ease,flesch_kincaid_grade
flesch_reading_ease,gunning_fog,-0.801,0.214,0.201,flesch_reading_ease,gunning_fog
flesch_kincaid_grade,gunning_fog,0.976,0.212,0.2,flesch_kincaid_grade,gunning_fog
flesch_kincaid_grade,lix,0.899,0.213,0.244,lix,flesch_kincaid_grade
flesch_kincaid_grade,rix,0.895,0.213,0.188,flesch_kincaid_grade,rix
gunning_fog,lix,0.901,0.2,0.244,lix,gunning_fog
gunning_fog,rix,0.934,0.2,0.188,gunning_fog,rix
gunning_fog,subordination_ratio,0.825,0.201,0.228,subordination_ratio,gunning_fog
gunning_fog,coordination_ratio,0.828,0.201,0.205,coordination_ratio,gunning_fog
gunning_fog,clauses_per_sentence,0.81,0.201,0.257,clauses_per_sentence,gunning_fog
automated_readability_index,coleman_liau_index,1.0,0.125,0.126,coleman_liau_index,automated_readability_index
automated_readability_index,parse_tree_depth_mean,0.923,0.126,0.199,parse_tree_depth_mean,automated_readability_index
